content,score
"С обновлением ничего не изменилось!!! Програмисты, просто враги народа!!! За такую работу их пора привлекать как инагентов к высшей мере наказания за подрыв страны!!! Приложение не даёт авторизоваться, ошибка камеры. Обе камеры исправны, дано разрешение приложению на использавание камеры. Попробовал в приложении отправить сообщение об ошибке. И это государственные услуги?! А ниже очередная отписка разработчиков. Давно уже написал на указанные ящики. И для чего писать такую ерунду?!",1
"Ой! Неужели кто-то что-то читает?! Верните старую версию, пусть и криво работающую. Верните возможность использовать обычные файлы ЭЦП как для веб-версии. Какой смысл СОЗДАВАТЬ новые ЭЦП когда уже полтора десятка лет у меня есть ЭЦП?! У меня лежат файлы в памяти смартфона, но нет! Надо новые данные собирать, фотографии, скоро анализ ДНК собирать будете? И не надо ля-ля про безопасность - через сайт достаточно простой СМС и ничего, никакой защиты!",1
"не работает команда продолжить в услуге постановка на очередь ребенка в дошкольные организации. 1414 не знает, тех поддержка не отвечает, на сообщения так же, в цон не знают почему неполадки. попробовал с аккаунта супруги, точно такая же проблема",1
"Сначало научитесь делать приложения прежде чем их выпускать . Ничего не работает,через компьютер сайт не распознает лицо. А в мобильном приложение кнопка подпись просто не работает. Молодцы!",1
"Ужасное приложение!!! Целый месяц не могу авторизоваться, проверку камеры не могу пройти, где только не фоткалась , блокирует якобы плохо видно лицо. У меня телефон новый, и не из дешёвых, специально взяла только из-за камеры, а тут видите ли плохо видно лицо. Отстойное приложение, была бы оценка 0, поставила бы не задумываясь, элементарно эцп юр лица не могу сделать не выходя из дома, очень разочарована. И не просите меня описать ошибку поэтапно с о скринами, у меня нет на это времени!!! 👎",1
"Очень плохо! Совсем средневековое приложение. Id камера вообще не работает, в овале лица нет, пишет ""лицо не найдено"". В других приложениях (банковское) с этой опцией все в порядке, id работает 100%. С гаджетом все норм, тупит именно eGov. Все разрешения настроены.",1
"Зачем Вы просите обновление хотя я этого не вижу. Просто тупо занимает место. Приложение даже не второсортное. Это даже не приложение😡😡😡. Ошибка, ошибка и ещё раз ошибка. Выдает постоянно. Кто-нибудь вообще был доволен вашим приложением. Зависает. Даже звонишь не объясняют почему так и просят оценку. Просто ужас",1
Невозможно авторизоваться..идёт запуск камеры и вылетает.уже смс запарилась вводить ..а войти не как не могу! очень большой минус.а если нет авторизации смысл этого приложения,1
"Невозможно зарегистрироваться или авторизоваться. Пробовал переустанавливать приложение, перезагружал устройство. Мои попытки ни к чему не привели. Решил сообщить об ошибке через опцию в приложении и это опция тоже не работает. В общем мусор, а не приложение.",1
"Отвратительно!документы не верные, данные непонятно откуда взяты с ошибками, подать заявление на регистрацию брака невозможно и с 10 раза, кнопка подписать и отправить не знает, что надо работать. Тихий ужас, а не портал гос услуг!",1
Добрый день. Сделайте нормальную авторизацию в приложении. Через логин и пароль или через эцп.( с компьютера скопировал на телефон и заходить). Почему только один вариант- это Digital id? Через него не зайти. Или вы хотите постоянно негативные отзывы читать?,1
"Как обычно не работает ничего, что связано с казахстанской госсистемой. Невозможно банально войти в личный кабинет. При видео проверке камеру не видит, просто белый квадрат с овалом под лицо и командами что делать. Хотя все разрешения были выданы.",1
Не показывает пенсионные накопления за последние пол года. Последнее отчисление показывает в декабре. Сейчас же апрель. А через компьютер показывает все как положено. Так что мобильная версия не работает как надо.,1
"В военкомате дали инструкцию по получению отсрочки от призыва, больше недели нет возможности зайти на elicense(услуга есть только там). Никаким из способов, ни пароль, ни код не принимают корректных авторизационных данных. При сканировании qr кода и входа через сайт egov результат одинаковый - форма авторизации закрывается, словно прошла успешно, но на сайте ничего не авторизированно, висит надпись о неправильных данных или пароле. В поддержку писал, игнорируют. Кто будет виноват в итоге?",1
"Это приложение вообще хоть когда-нибудь, у кого-нибудь работало? Или его забросили и не поддерживают? Год назад скачивал - не работало, полгода назад тоже не работало, сейчас опять не работает. Это же вроде Правительственное приложение. В чём проблема?",1
"Бесполезное приложение,от слова совсем 👎👎👎 Единственное что тут возможно сделать, забронировать очередь в Цон... Мне нужно было встать в очередь на жильё,но в мобильном приложении нет данной услуги(Имеется постановка в очередь на получение земли под строительство)",1
"Приложение отстой. Как там пишут,тоже не могу войти . загорается белый экран и кнопка отменить. Зачем его создавать было,если в самом начале сначала выкидывает с приложения,а потом зайти не можешь. Минус 5!!!",1
"Ужасно, не могу зайти. При попытке авторизации, Отправляет на digital id , чтобы я регистрацию прошёл, тогда как я уже зарегистрирован в мобильной базе граждан, после ввода номера телефона и иин, пишет что я уже зарегистрирован в мобильной базе граждан, потом войти нажимаю, опять направляет на digital id просто зайти не даёт .",1
Доброе время суток! Программа стала хуже! Я уже 2 недели не могу зайти Digital ID через телефон не видит а через ПК летает прошу в ближайшее время разобраться с данному вопросу! Без еGov mobile не как жизнь проходит стороной.,1
"Это просто незабываемые ощущения, я советую всем установить это приложение и проверить свою психику на прочность начиная с этапа регистрации. А далее каждый вход с Digital ID, видеть там свое довольное лицо .",1
"Не запускается камера. Вылетает. Перепробовал удалить и заново скачать, весь телефон перерыл, камеру во всех приложениях разрешил. Не тратьте зря мегабайты и время на это приложение. Он нерабочи",1
"приложение делал просто безрукий человек, ничего по человечески не работает, куда вы сами то смотрите? я потратил 10 минут на оформление брака и меня просто выкинуло на главную страницу, и так 3 раза, помимо этого плохо работают переходы с вкладки на вкладку, текст вводится по минуте, все работает просто ужасно",1
"Отличный показатель того, как в стране все работает. Подсказка: через это место животные выводят экскременты. Вы в курсе, что у вас функция поиска не работает?",1
"Приложение просто не описать как оно тормозит. Мне нужно срочно войти в аккаунт, но я не могу банально пройти видео проверку в начале. Я как идиот по раз 15 приближал и отодвигал камеру, но приложение без конца выдавала одно и тоже. И мне кажется что дальше больше. Дорогие разработчики, не могли бы вы немного пошевелить мозгами и исправить это. Ведь вы создали приложение,которое представляет собой сайт гос услуг. Просто позорище какое то, а не приложение. Приложение 5 звёзд в отрицательном знач.",1
"Разработчики, ваше приложение не стоит и одной звёздочки. Мало того что после обновы я войти не могу, так и при процессе выпуска нового ЭЦП ключа, выдает ошибку и просят пройти регистрацию по новой. Делал 6 раз. И? Результата ноль. Оно и на ранних версиях до обновления доставляло немало проблем, а теперь вообще бесполезное приложение.",1
"Пытаюсь открыть eDensalyq появляется окно авторизации, хотя я уже авторизованный по ЭЦП, авторизуется повторно появляется страница аналогичная обычному егов десктопной версии. А где мед. приложение?",1
"Невозможно войти в приложение. Пишу номер и код смс, потом снова перекидывает на первую страницу. Я вижу, что не только у меня такая проблема. Вы её решать собираетесь? Почему нельзя с личного кабинета на сайте сразу подать заявку на услуги? Почему нужно заново все данные заполнять при подаче на ту или иную услугу? Почему личный кабинет на сайте выглядит как будто её не обновляли с 90го года? У вас главная страница красочная, а личный кабинет ужас бесполезный.",1
"После установки программы не возможно войти через действующий эцп, так как выкидывает сразу на digital id идентификацию и выпуск нового эцп, но зачем новое эцп когда у тебя есть действующие. Всегда после обновления что то не работает и грузится очень долго.",1
Не получается даже войти в приложение! Сообщение приходит а приложение сворачивается! После чего приходит сообщение. Заходишь в приложение снова отправляет общение итог не входит...,1
"идея хорошая. реализованна беобразно, как будто для галочки. пользование этим приложением напоминает квест, довольно занудный и сложный. Считаю, что люди не владеющие компьютерными технологиями на уровне современного подростка не смогут полноценно использовать весь функционал приложения, а люди преклонного возраста вообще не смогут пользоваться этим ""шедевром"" на 99%. ...у Крылова есть басня, мартышка и очки, складывается впечатление, что у нас в жизни происходит подобное с электронными технол",1
"УЖАСНОЕ, ОТВРАТИТЕЛЬНОЕ приложение!!! Для чего его создали? Сто раз подряд запрашивает ключ эцп! Авторизовлась один раз, заказала документы(справки), ни одно уведомление не пришло, вечно какие-то данные собирают без результата! При первом заходе в приложение можно было открыть личные документы, потом это все куда-то исчезло, при запросе ответ: ""нет данных""! При авторизации видеофиксации вообще не одни запасные нервы нужны! ПУСТОЕ, НЕНУЖНОЕ ПРИЛОЖЕНИЕ! ТЕЛЕГРАММ БОТ- там все документы!!!",1
"Ужасное приложение! Как и вся система электронного правительства. Новые сертификаты на телефоне, но приложение видит путь к старым, срок которых истёк, хотя их удалила уже, и новые сертификаты не даёт выбрать, так как нажимаю на папку, чтобы выбрать путь, а появляется страница авторизации. И почему нельзя одной кнопкой сделать продление сертификата. Зафига вам каждый раз биометрию собирать!??! То ли специально напридумывали, чтобы люди мучались с вашей системой, то ли глупые люди разрабатывали",1
Добрый день! После уведомления об отмене обязательной брони для посещения ЦОНа приложение перестало работать на этапе входа в личный кабинет! Перезагрузка устройства и переустановка поиложения не помогают! Очистка КЭШа так же не принесла положительного эффекта. Приложение просто закрывается!,1
"Приложение ужасное. Виснет, не открываются цифровые документы. Хотел посмотреть паспорт вакцинации. Его не было - обновил - появилось, потом естественно ничего не открылось. Обновил - пропал паспорт и сведения о семье тоже пропали! Обновляю- вообще ничего нет. Разработчики поддерживают свой статус умения разрабатывать дешёвые и глючные приложения.",1
"Доброго времени суток. Как надоела Вся эта АВТОРИЗАЦИЯ. Был мобильный пароль доступа для входа в приложение, так нет же, кому-то захотелось усложнить, ... . Разработчики, Вы ещё на отпечатки пальцев вход в приложение разработайте и сканирование сетчатки глаза добавьте, а то ведь пользователю прочитать входящие уведомления, (хочу подчеркнуть - мобильное приложение), ну никак без бешенной авторизации. Заказать документ лучше через ПКомпьютер а не через мобильное приложение.",1
"Приложение не работает. Не могу зарегистрироваться. После прохождения биометрии, приложение запрашивает данные об удовлетворении и номер телефона. Нажимаю""разрешить"", а дальше ничего не происходит. В центре экрана появляется надпись, похожая на ссылку, через секунду пропадает и остаётся только белый экран. От ожидания ничего не меняется, ничего не происходит. Пробовал несколько раз, всегда одно и тоже. Переустановил приложение, всё повторилось. Приложение могло бы быть полезным, если бы работало",1
"Что хорошо, то что документы 3 из 4-х были готовы в течении минуты, не открывается, кнопка с отправкой документов куда то сбежала, сказали что можно отправить с ее помощью. Не понятно куда вообще сохранется документ, написано сохранено, на телефоне нигде нет. Проверяли с помощью компа, без результатов. Документ не открывается с телефона... Пишет ошибка. Сам интерфейс приложения не совсем понятный, пришлось поискать, потыкать, прежде чем понять, готовы ли документы/где они сохраняются...",1
"Ранее в приложении возможно было войти под другим ЭЦП, нужно было просто выйти из аккаунта и выбрать другое ЭЦП. Теперь из-за внутренней какой-то ошибки не работает выбор другого ЭЦП, при нажатии на выбор пути к папке приложение выкидывает в начало на регистрацию и оставляет неизменным путь к ранее использованному ЭЦП. Исправьте эту ошибку. Также не обновляет электронные документы, показывает старые, а вновь созданные (например техпаспорт) не показывает.",1
"Как откатить к проедыдущей версии??? Приложение возможно неплохое, но проверить не представляется возможным. Последняя версия просто вылетает при запуске. На половине устройств в предыдущей версии, когда открывалось и, в частности, 6 андроид, не показывает некоторые разделы и документы. Пишет ошибка. А ведь приложение не для гиков, и не новые устройства тоже нужно поддерживать.",1
"Так и не получилось зарегистрироваться, на стадии ввода пароля и почты выдает ошибку. ""Произошла ошибка,пройдите пожалуйста процесс регистрации заново."" Пробовал несколько раз, безрезультатно. Читая отзывы, создаётся впечатление что работы по устранению проблем и улучшению приложения не видуться. Печально что на дворе 22 год, а разрабатывать приложения по человечески так и не научились, о какой ""цифровизации"" может идти речь. Есть же как пример приложение от Каспий.кз, все работае, -",1
"Здравствуйте создатели этой недоработанной версии. Здесь много мелких недоработок. Отмечу важные. При регитрации не находит эцп ключи, хотя на устройстве они имееются, создаёт свои ключи в приложении, которые только для приложения и находятся где-то в приложении, которые найти невозможно. Далее, после регистрации своим путём приложение поедоставляет возможность защиты кодовым числом и отпечатком пальца, КОТОРЫЕ НЕ РАБОТАЮТ. ПРИ ВХОДЕ В ПРИЛОЖЕНИЕ ЭТА ФУНКЦИЯ ПРОПУСКАЕТСЯ. Переустонавливал 100раз",1
"Приложение очень и очень плохо работает. Раньше пользовалась ещё нечего, последний месяц,это прям тупорылость какая то. Перестал работать вход по одноразовому паролю, съездила с пузом на 9 мес в ЦОН,перевыпустила эцп на флешку. Т. К. Не смогли помочь там с приложением 😳. Далее сама перекинула на телефон её и зашла в приложение, скачала 1 справку. Уже как несколько дней снова нет входа в приложение с помощью эцп. Выдаёт ошибку.",1
"приложение, полное ""Г..."" вместо цифровых документов, пустая белая страница. кадастровую справку не выдаëт, (выдаëт ошибку) там надо выбрать город, адрес, но не выпадает даже список городов и улиц. Захожу с браузера и вуаля, всë что нужно, выбираешь из выпадающих списков и кадастровая справка делается на раз-два. тоже самое со справкой о прописанных по данному адресу, в приложении еë вообще нет, а в браузере получаешь и скачиваешь еë в ЛК, без проблем.",1
"Худшее тех обслуживание, 24/7 слушаю музыку когда к ним обращаюсь, нет части услуг которые предоставляются на сайте, хотя указано что можно сделать через приложение, сайт тоже кривой, не могу выбрать некоторые пункты, в опциях пунктир и все, контакт центр кидает на оператора и даёт послушать музыку, и просто неудобное приложение",1
"Приложение ужасное, невозможно зарегистрироваться, получить ЭЦП, с виду всё понятно, однако как только запрашиваешь информацию (особенно ЭЦП) начинает гнать, лагать, зависать. Идентификацию по камере вообще отдельное дно(именно ""ДНО""). СМСки приходят вначале быстро, а потом приходиться ждать, из-за чего приложение просит войти заново. В общем не умеете создавать, не давайте надежду. Лишь один плюс - нет рекламы, и то спасибо. Другой отзыв:Сегодня скачал обновление. Как было говном, так и осталос",1
"Отвратительное приложение. Старая версия была понятнее и проще. Ощущение, что все делается не для людей, а ПРОТИВ !!! Невозможно войти в приложение, вечные сбои и нелепые нововведения! Даже в банковских приложениях проще вход! Придумали электронные ключи и прочую ерунду, которая на деле не работает! Издевательство!",1
"Очень проблемное приложение. Изначально банально не мог зарегистрироваться, после ещё одной ""непредвиденной ошибки"" во время регистрации, забил и вышел, но спустя время всё-таки получилось. Теперь не могу забронировать себя в очередь, снова ошибка Приложение карявое, исправляйте, и оно станет поистине полезным!",1
"Поделиться впечатлением? Просто кошмар! На смартфоне регистрацию пошёл, а услугу получить, ну ни как. Снять человека с регистрации просто не возможно. Повисло, и потом сброс. Все закончилось. На компе пробовал, а там и регистрацию пройти не удалось. Код на телефон прислали и после ввода он неверный. Как так то!? Я не знаю, как так, идея отличная(за что и ставлю звезду), а воплощение просто как всегда.((( Вы хоть читаете отзывы? А результаты будут..?",1
"Справки не вытаскиваются, при нажатии открыть документ дает на выбоо вообще все приложение на телефоне, при нажатии сохранить в мои документы- пишет сохранено, но куда? Проверил везде нп флешке в приложении на памяти телефона нету. Очень кривое приложение и в плане интерфейса и работоспособности! mgov лучше был и удобнее!",1
"Приложение хххорош, но НЕ РАБОТАЕТ☠️ Скачал, открыл, выбираю вход по смс, всё ввёл, жду - значок загрузка крутится и ничего не происходит!💩 Выбрал регистрацию, хотя я и так в егов бмг зарегистрирован: всё ввёл, нажал, digital ID ok, значок загрузка крутится и ничего не происходит!💩 Выключил приложение, открыл снова - там эцп отображаются, как будто они всё таки создались. Ввожу пароль, который к ним указывал, жму войти - значок загрузка крутится и ничего не происходит! 💩",1
"Ужасное приложение. Каким образом оптимизировали работу? Элементарно не могу посмотреть пришедшее мне уведомление, потому что ""портал сейчас недоступен"". Открываю другое уведомление-появляется какое-то окошко, якобы ошибка, но текст прочитать невозможно, ибо происходит всё в мгновение, после чего выкидывает на страницу авторизации. Неужели нельзя довести данное приложение до ума и не мучать людей!?",1
"Изумительный распил бабла. Не работает ничего. Цифровые документы - особо издевательское меню. Первый раз туда входишь и при попытке посмотреть например удостоверение, видишь квадратики. А второй и последующие входы - белый экран. Интересно, где статьи журналистов об этой госпрограмме и ее плачевных результатах? Чистой воды распил. В конце концов, будет эта дрянь работать???? Как паспорт ничерта нормально не работает! Или надо обязательно до уровня премьера и президента поднимать проблему?",1
"Это новое приложение просто ужасно, мало того, что войти в личный кабинет я пыталась 40 минут и я не преувеличиваю, а преуменьшаю, так ещё приложение постоянно вылетает, просто без остановки, всё что я смогла, с горем пополам зайти в свой кабинет . Всё , дальше я с сотого раза смогла просмотреть перечень услуг, с сотого раза зайти в недвижимость, чтоб увидеть, что там нет нужной мне услуги. Так и другие получить НЕВОЗМОЖНО! Отправляю отзыв в час ночи, а приложение скачала около11.Верните старое!",1
"Полный отстой!!!! Более тупого приложения я не встречал в своей практике!!! Разделы не открываются!!Содержимое не обновляется, уведомления не приходят, статус поданных документов не отображается, результаты принятых решений не отображаются!!! В общем можно ещё много чего перечислять из кривого кода, но нет даже желания этого делать!!! Так все убого!!! Ау вы там вообще собираетесь что-то предпринять для устранения всех проблем.....??? У вас обратная связь существует, по всем комментариям...?",1
